Start Time:  09-May-17 11:55:53           Time Completed:  09-May-17 12:11:12       Elapsed Time:  00:15:42
Sample ID:     170509, Co-Al A0, 18,5 mg, RT run

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.exp
Data File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.txt
Plot File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.stp
VSM Data File: C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 14999.1 	 0.686255 	-270.01 	
 14993 	 0.68633 	-270.01 	
 14980.7 	 0.686478 	-270.01 	
 14967.8 	 0.686413 	-270.01 	
 14953.7 	 0.686353 	-270.01 	
 14939 	 0.686423 	-270.01 	
 14924.2 	 0.686478 	-270.01 	
 14908.7 	 0.686466 	-270 	
 14894.4 	 0.686324 	-270.01 	
 14879.2 	 0.686341 	-270.01 	
 14864.7 	 0.686397 	-270.01 	
 14848.9 	 0.686241 	-270.01 	
 14833.9 	 0.686314 	-270.01 	
 14819.4 	 0.686247 	-270.01 	
 14803.6 	 0.686135 	-270.01 	
 14788.8 	 0.686214 	-270.01 	
 14772.5 	 0.686135 	-270.01 	
 14758.7 	 0.685963 	-270.01 	
 14743.3 	 0.686 	-270.01 	
 14727.7 	 0.685968 	-270.01 	
 14713.2 	 0.685962 	-270.01 	
 14698.1 	 0.685853 	-270.01 	
 14682.9 	 0.685741 	-270.01 	
 14667.7 	 0.685771 	-270.01 	
 14653.1 	 0.685801 	-270.01 	
 14637.9 	 0.685675 	-270.01 	
 14621.2 	 0.685633 	-270.01 	
 14608 	 0.685516 	-270.01 	
 14592.7 	 0.685616 	-270.01 	
 14577.7 	 0.685539 	-270.01 	
 14562.9 	 0.685404 	-270 	
 14547 	 0.685373 	-270 	
 14533.1 	 0.685371 	-270 	
 14517.4 	 0.685412 	-270.01 	
 14502.6 	 0.685197 	-270.01 	
 14487.3 	 0.68528 	-270.01 	
 14471 	 0.685265 	-270.01 	
 14456.8 	 0.68519 	-270.01 	
 14441.7 	 0.685051 	-270 	
 14427.4 	 0.684986 	-270.01 	
 14412.1 	 0.685066 	-270.01 	
 14395.8 	 0.684983 	-270.01 	
 14381.9 	 0.684807 	-270.01 	
 14365.8 	 0.684849 	-270 	
 14352.3 	 0.684849 	-270.01 	
 14336.5 	 0.684732 	-270.01 	
 14320.5 	 0.684607 	-270.01 	
 14305.3 	 0.684578 	-270.01 	
 14291.4 	 0.684414 	-270.01 	
 14276.7 	 0.684546 	-270.01 	
 14260.6 	 0.684542 	-270.01 	
 14246.1 	 0.684375 	-270.01 	
 14231.2 	 0.684285 	-270.01 	
 14222.4 	 0.684316 	-270.01 	
 14208.4 	 0.684153 	-270.01 	
 14189 	 0.684233 	-270.01 	
 14170.9 	 0.684063 	-270.01 	
 14155.8 	 0.683992 	-270.01 	
 14139.7 	 0.683965 	-270.01 	
 14126.1 	 0.683872 	-270.01 	
 14110.4 	 0.683961 	-270.01 	
 14095.9 	 0.683833 	-270.01 	
 14079.7 	 0.683791 	-270.01 	
 14065.7 	 0.683624 	-270 	
 14050.2 	 0.683679 	-270.01 	
 14035.1 	 0.683586 	-270.01 	
 14020.1 	 0.683455 	-270.01 	
 14005.9 	 0.683525 	-270.01 	
 13989.8 	 0.683435 	-270.01 	
 13973.5 	 0.683253 	-270.01 	
 13959.8 	 0.683204 	-270.01 	
 13945.3 	 0.683236 	-270.01 	
 13929.8 	 0.683137 	-270 	
 13915.1 	 0.683157 	-270.01 	
 13898.9 	 0.68309 	-270.01 	
 13884.7 	 0.68303 	-270.01 	
 13869.7 	 0.682873 	-270.01 	
 13854.4 	 0.682895 	-270.01 	
 13839.8 	 0.68286 	-270.01 	
 13825.2 	 0.682677 	-270.01 	
 13809 	 0.682588 	-270.01 	
 13794.6 	 0.6825 	-270.01 	
 13779.1 	 0.682474 	-270.01 	
 13763.7 	 0.682565 	-270.01 	
 13749.9 	 0.682409 	-270.01 	
 13733.5 	 0.682317 	-270.01 	
 13719 	 0.682342 	-270.01 	
 13703.6 	 0.682231 	-270.01 	
 13688.6 	 0.682032 	-270.01 	
 13673.8 	 0.682063 	-270.01 	
 13659.9 	 0.682033 	-270.01 	
 13643.4 	 0.681924 	-270.01 	
 13627.8 	 0.681917 	-270 	
 13614.8 	 0.681799 	-270.01 	
 13596.9 	 0.681761 	-270.01 	
 13584.5 	 0.681665 	-270.01 	
 13569.1 	 0.681551 	-270 	
 13552.8 	 0.681585 	-270.01 	
 13539.4 	 0.681489 	-270.01 	
 13524.1 	 0.681384 	-270 	
 13507.1 	 0.681319 	-270 	
 13494.6 	 0.681267 	-270.01 	
 13477.6 	 0.681324 	-270.01 	
 13464.6 	 0.681142 	-270.01 	
 13448.7 	 0.681034 	-270 	
 13433.5 	 0.681092 	-270 	
 13416.2 	 0.680952 	-270.01 	
 13405 	 0.680817 	-270.01 	
 13385.9 	 0.680787 	-270.01 	
 13379.8 	 0.680721 	-270.01 	
 13364.9 	 0.680752 	-270.01 	
 13347.2 	 0.680574 	-270.01 	
 13328.2 	 0.680531 	-270.01 	
 13314.4 	 0.680439 	-270.01 	
 13294 	 0.680446 	-270.01 	
 13284.1 	 0.680246 	-270.01 	
 13267.2 	 0.680334 	-270.01 	
 13251.1 	 0.68002 	-270.01 	
 13237.7 	 0.680037 	-270.01 	
 13225.6 	 0.680012 	-270.01 	
 13204.3 	 0.680063 	-270.01 	
 13192.4 	 0.679906 	-270.01 	
 13179.8 	 0.679789 	-270.01 	
 13159.7 	 0.679771 	-270.01 	
 13149.7 	 0.6797 	-270.01 	
 13131.7 	 0.679637 	-270.01 	
 13117.6 	 0.679537 	-270.01 	
 13104 	 0.679428 	-270 	
 13085.9 	 0.67937 	-270 	
 13073.3 	 0.679229 	-270.01 	
 13059.1 	 0.67916 	-270.01 	
 13041.1 	 0.679082 	-270.01 	
 13025.2 	 0.679072 	-270 	
 13012.7 	 0.678909 	-270.01 	
 12997 	 0.678884 	-270.01 	
 12983.3 	 0.678829 	-270.01 	
 12966.9 	 0.678835 	-270.01 	
 12952.4 	 0.678771 	-270.01 	
 12935.5 	 0.678639 	-270.01 	
