Start Time:  08-Mar-17 23:49:20           Time Completed:  08-Mar-17 23:55:53       Elapsed Time:  00:06:48
Sample ID:     170308, MOGV Co-Ni 53,30mg, T-run 1-2

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.exp
Data File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.txt
Plot File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.stp
VSM Data File: C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 299.555 	 0.604109 	 550.006 	
 298.486 	 0.603288 	 550.001 	
 297.454 	 0.602258 	 550.003 	
 296.519 	 0.601159 	 550.005 	
 295.453 	 0.600065 	 550.005 	
 294.492 	 0.599009 	 550.013 	
 293.574 	 0.597917 	 550.004 	
 292.498 	 0.596727 	 550.004 	
 291.371 	 0.595485 	 550.007 	
 290.531 	 0.594433 	 550.008 	
 289.447 	 0.593171 	 550.012 	
 288.48 	 0.592049 	 550.008 	
 287.408 	 0.590879 	 550.009 	
 286.526 	 0.589662 	 550.014 	
 285.484 	 0.588486 	 550.013 	
 284.552 	 0.587189 	 550.01 	
 283.457 	 0.586039 	 550.009 	
 282.549 	 0.58492 	 550.01 	
 281.535 	 0.583743 	 550.009 	
 280.51 	 0.582476 	 550.007 	
 279.551 	 0.581248 	 550.01 	
 278.441 	 0.580048 	 550.011 	
 277.52 	 0.578737 	 550.012 	
 276.569 	 0.577587 	 550.006 	
 275.463 	 0.576367 	 550.008 	
 274.617 	 0.575149 	 550.007 	
 273.397 	 0.573834 	 550.013 	
 272.524 	 0.572549 	 550.013 	
 271.52 	 0.571353 	 550.009 	
 270.484 	 0.570087 	 550.007 	
 269.554 	 0.568877 	 550.006 	
 268.491 	 0.56762 	 550.007 	
 267.563 	 0.566375 	 550.009 	
 266.467 	 0.565007 	 550.012 	
 265.469 	 0.563752 	 550.011 	
 264.526 	 0.562573 	 550.01 	
 263.933 	 0.561713 	 550.013 	
 262.686 	 0.56028 	 550.017 	
 261.554 	 0.558716 	 550.016 	
 260.553 	 0.557428 	 550.015 	
 259.605 	 0.5562 	 550.015 	
 258.517 	 0.554699 	 550.014 	
 257.57 	 0.553556 	 550.013 	
 256.547 	 0.55222 	 550.012 	
 255.464 	 0.550908 	 550.014 	
 254.608 	 0.549619 	 550.012 	
 253.552 	 0.548349 	 550.017 	
 252.523 	 0.547043 	 550.02 	
 251.514 	 0.545665 	 550.021 	
 250.567 	 0.544416 	 550.019 	
 249.528 	 0.543193 	 550.017 	
 248.668 	 0.541905 	 550.014 	
 247.507 	 0.540548 	 550.013 	
 246.575 	 0.539173 	 550.014 	
 245.482 	 0.537932 	 550.018 	
 244.584 	 0.536648 	 550.018 	
 243.602 	 0.535366 	 550.018 	
 242.452 	 0.53394 	 550.013 	
 241.63 	 0.53262 	 550.015 	
 240.47 	 0.53125 	 550.018 	
 239.609 	 0.529969 	 550.018 	
 238.587 	 0.528709 	 550.015 	
